"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM136578","045_01_01","GSM136578","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136578/GSM136578.CEL.gz","22277"
"GSM136579","045_01_03","GSM136579","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Rectum","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136579/GSM136579.CEL.gz","22277"
"GSM136580","045_01_04","GSM136580","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue:  Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136580/GSM136580.CEL.gz","22277"
"GSM136581","045_01_05","GSM136581","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue:  Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136581/GSM136581.CEL.gz","22277"
"GSM136582","045_01_07","GSM136582","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue:  Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136582/GSM136582.CEL.gz","22277"
"GSM136583","045_01_08","GSM136583","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Lung","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136583/GSM136583.CEL.gz","22277"
"GSM136584","045_01_09","GSM136584","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136584/GSM136584.CEL.gz","22277"
"GSM136585","045_01_10","GSM136585","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136585/GSM136585.CEL.gz","22277"
"GSM136586","045_01_11","GSM136586","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Abdomen","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136586/GSM136586.CEL.gz","22277"
"GSM136587","045_02_01","GSM136587","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136587/GSM136587.CEL.gz","22277"
