probeset,hgnc
ACSBG2|81616,ACSBG2
ACSF2|80221,ACSF2
ACSF3|197322,ACSF3
ACSL1|2180,ACSL1
ACSL3|2181,ACSL3
ACSL4|2182,ACSL4
ACSL5|51703,ACSL5
ACSL6|23305,ACSL6
ACSM1|116285,ACSM1
ACSM2A|123876,ACSM2A
ACSM2B|348158,ACSM2B
ACSM3|6296,ACSM3
ACSM4|341392,ACSM4
ACSM5|54988,ACSM5
ACSS1|84532,ACSS1
ACSS2|55902,ACSS2
ACSS3|79611,ACSS3
ACTA1|58,ACTA1
ACTA2|59,ACTA2
ACTB|60,ACTB
ACTBL2|345651,ACTBL2
ACTC1|70,ACTC1
ACTG1|71,ACTG1
ACTG2|72,ACTG2
ACTL6A|86,ACTL6A
ACTL6B|51412,ACTL6B
ACTL7A|10881,ACTL7A
ACTL7B|10880,ACTL7B
ACTL8|81569,ACTL8
ACTL9|284382,ACTL9
ACTN1|87,ACTN1
ACTN2|88,ACTN2
ACTN3|89,ACTN3
ACTN4|81,ACTN4
ACTR10|55860,ACTR10
ACTR1A|10121,ACTR1A
ACTR1B|10120,ACTR1B
ACTR2|10097,ACTR2
ACTR3|10096,ACTR3
ACTR3B|57180,ACTR3B
ACTR3C|653857,ACTR3C
ACTR5|79913,ACTR5
ACTR6|64431,ACTR6
ACTR8|93973,ACTR8
ACTRT1|139741,ACTRT1
ACTRT2|140625,ACTRT2
ACVR1|90,ACVR1
ACVR1B|91,ACVR1B
ACVR1C|130399,ACVR1C
ACVR2A|92,ACVR2A
ACVR2B|93,ACVR2B
ACVRL1|94,ACVRL1
ACY1|95,ACY1
ACY3|91703,ACY3
ACYP1|97,ACYP1
ACYP2|98,ACYP2
ADA|100,ADA
ADAD1|132612,ADAD1
ADAD2|161931,ADAD2
ADAL|161823,ADAL
ADAM10|102,ADAM10
ADAM11|4185,ADAM11
ADAM12|8038,ADAM12
ADAM15|8751,ADAM15
ADAM17|6868,ADAM17
ADAM18|8749,ADAM18
ADAM19|8728,ADAM19
ADAM2|2515,ADAM2
ADAM20|8748,ADAM20
ADAM21|8747,ADAM21
ADAM21P1|145241,ADAM21P1
ADAM22|53616,ADAM22
ADAM23|8745,ADAM23
ADAM28|10863,ADAM28
ADAM29|11086,ADAM29
ADAM30|11085,ADAM30
ADAM32|203102,ADAM32
ADAM33|80332,ADAM33
ADAM3A|1587,ADAM3A
ADAM5P|255926,ADAM5P
ADAM6|8755,ADAM6
ADAM7|8756,ADAM7
ADAM8|101,ADAM8
ADAM9|8754,ADAM9
ADAMDEC1|27299,ADAMDEC1
ADAMTS1|9510,ADAMTS1
ADAMTS10|81794,ADAMTS10
ADAMTS12|81792,ADAMTS12
ADAMTS13|11093,ADAMTS13
ADAMTS14|140766,ADAMTS14
ADAMTS15|170689,ADAMTS15
ADAMTS16|170690,ADAMTS16
ADAMTS17|170691,ADAMTS17
ADAMTS18|170692,ADAMTS18
ADAMTS19|171019,ADAMTS19
ADAMTS2|9509,ADAMTS2
ADAMTS20|80070,ADAMTS20
ADAMTS3|9508,ADAMTS3
ADAMTS4|9507,ADAMTS4
ADAMTS5|11096,ADAMTS5
ADAMTS6|11174,ADAMTS6
ADAMTS7|11173,ADAMTS7
ADAMTS8|11095,ADAMTS8
ADAMTS9|56999,ADAMTS9
ADAMTSL1|92949,ADAMTSL1
ADAMTSL2|9719,ADAMTSL2
ADAMTSL3|57188,ADAMTSL3
ADAMTSL4|54507,ADAMTSL4
ADAMTSL5|339366,ADAMTSL5
ADAP1|11033,ADAP1
ADAP2|55803,ADAP2
ADAR|103,ADAR
ADARB1|104,ADARB1
ADARB2|105,ADARB2
ADAT1|23536,ADAT1
ADAT2|134637,ADAT2
ADAT3|113179,ADAT3
ADC|113451,ADC
ADCK1|57143,ADCK1
ADCK2|90956,ADCK2
ADCK4|79934,ADCK4
ADCK5|203054,ADCK5
ADCY1|107,ADCY1
ADCY10|55811,ADCY10
ADCY2|108,ADCY2
ADCY3|109,ADCY3
ADCY4|196883,ADCY4
ADCY5|111,ADCY5
ADCY6|112,ADCY6
ADCY7|113,ADCY7
ADCY8|114,ADCY8
ADCY9|115,ADCY9
ADCYAP1|116,ADCYAP1
ADCYAP1R1|117,ADCYAP1R1
ADD1|118,ADD1
ADD2|119,ADD2
ADD3|120,ADD3
ADH1A|124,ADH1A
ADH1B|125,ADH1B
ADH1C|126,ADH1C
ADH4|127,ADH4
ADH5|128,ADH5
ADH6|130,ADH6
ADH7|131,ADH7
ADHFE1|137872,ADHFE1
ADI1|55256,ADI1
ADIG|149685,ADIG
ADIPOQ|9370,ADIPOQ
ADIPOR1|51094,ADIPOR1
ADIPOR2|79602,ADIPOR2
ADK|132,ADK
ADM|133,ADM
ADM2|79924,ADM2
ADNP|23394,ADNP
ADNP2|22850,ADNP2
ADO|84890,ADO
ADORA1|134,ADORA1
ADORA2A|135,ADORA2A
ADORA2B|136,ADORA2B
ADORA3|140,ADORA3
ADPGK|83440,ADPGK
ADPRH|141,ADPRH
ADPRHL1|113622,ADPRHL1
ADPRHL2|54936,ADPRHL2
ADRA1A|148,ADRA1A
ADRA1B|147,ADRA1B
ADRA1D|146,ADRA1D
ADRA2A|150,ADRA2A
ADRA2B|151,ADRA2B
ADRA2C|152,ADRA2C
ADRB1|153,ADRB1
ADRB2|154,ADRB2
ADRB3|155,ADRB3
ADRBK1|156,ADRBK1
ADRBK2|157,ADRBK2
ADRM1|11047,ADRM1
ADSL|158,ADSL
ADSS|159,ADSS
ADSSL1|122622,ADSSL1
AEBP1|165,AEBP1
AEBP2|121536,AEBP2
AEN|64782,AEN
AES|166,AES
AFAP1|60312,AFAP1
AFAP1L1|134265,AFAP1L1
AFAP1L2|84632,AFAP1L2
AFARP1|246182,AFARP1
AFF1|4299,AFF1
AFF2|2334,AFF2
AFF3|3899,AFF3
AFF4|27125,AFF4
AFG3L1|172,AFG3L1
AFG3L2|10939,AFG3L2
AFM|173,AFM
AFMID|125061,AFMID
AFP|174,AFP
AFTPH|54812,AFTPH
AG2|387763,AG2
AGA|175,AGA
AGAP1|116987,AGAP1
AGAP11|119385,AGAP11
AGAP2|116986,AGAP2
AGAP3|116988,AGAP3
AGAP4|119016,AGAP4
AGAP5|729092,AGAP5
AGAP6|414189,AGAP6
AGAP7|653268,AGAP7
AGAP8|728404,AGAP8
AGBL1|123624,AGBL1
AGBL2|79841,AGBL2
AGBL3|340351,AGBL3
AGBL4|84871,AGBL4
AGBL5|60509,AGBL5
AGER|177,AGER
AGFG1|3267,AGFG1
AGFG2|3268,AGFG2
AGGF1|55109,AGGF1
AGK|55750,AGK
AGL|178,AGL
AGMAT|79814,AGMAT
AGPAT1|10554,AGPAT1
AGPAT2|10555,AGPAT2
AGPAT3|56894,AGPAT3
AGPAT4|56895,AGPAT4
AGPAT5|55326,AGPAT5
AGPAT6|137964,AGPAT6
AGPAT9|84803,AGPAT9
AGPHD1|123688,AGPHD1
AGPS|8540,AGPS
AGR2|10551,AGR2
AGR3|155465,AGR3
AGRN|375790,AGRN
AGRP|181,AGRP
AGT|183,AGT
AGTPBP1|23287,AGTPBP1
AGTR1|185,AGTR1
AGTR2|186,AGTR2
AGTRAP|57085,AGTRAP
AGXT|189,AGXT
AGXT2|64902,AGXT2
AGXT2L1|64850,AGXT2L1
AGXT2L2|85007,AGXT2L2
AHCTF1|25909,AHCTF1
AHCY|191,AHCY
AHCYL1|10768,AHCYL1
AHCYL2|23382,AHCYL2
AHDC1|27245,AHDC1
AHI1|54806,AHI1
AHNAK|79026,AHNAK
AHNAK2|113146,AHNAK2
AHR|196,AHR
AHRR|57491,AHRR
AHSA1|10598,AHSA1
AHSA2|130872,AHSA2
AHSG|197,AHSG
AHSP|51327,AHSP
AICDA|57379,AICDA
AIDA|64853,AIDA
AIF1|199,AIF1
AIF1L|83543,AIF1L
AIFM1|9131,AIFM1
AIFM2|84883,AIFM2
AIFM3|150209,AIFM3
AIG1|51390,AIG1
AIM1|202,AIM1
AIM1L|55057,AIM1L
AIM2|9447,AIM2
AIMP1|9255,AIMP1
AIMP2|7965,AIMP2
AIP|9049,AIP
AIPL1|23746,AIPL1
AIRE|326,AIRE
AJAP1|55966,AJAP1
AK1|203,AK1
AK2|204,AK2
AK3|50808,AK3
AK3L1|205,AK3L1
AK5|26289,AK5
AK7|122481,AK7
AKAP1|8165,AKAP1
AKAP10|11216,AKAP10
AKAP11|11215,AKAP11
AKAP12|9590,AKAP12
AKAP13|11214,AKAP13
AKAP14|158798,AKAP14
AKAP2|11217,AKAP2
AKAP3|10566,AKAP3
AKAP4|8852,AKAP4
AKAP5|9495,AKAP5
AKAP6|9472,AKAP6
AKAP7|9465,AKAP7
AKAP8|10270,AKAP8
AKAP8L|26993,AKAP8L
AKAP9|10142,AKAP9
AKD1|221264,AKD1
AKIRIN1|79647,AKIRIN1
AKIRIN2|55122,AKIRIN2
AKNA|80709,AKNA
AKNAD1|254268,AKNAD1
AKR1A1|10327,AKR1A1
AKR1B1|231,AKR1B1
AKR1B10|57016,AKR1B10
AKR1B15|441282,AKR1B15
AKR1C1|1645,AKR1C1
AKR1C2|1646,AKR1C2
AKR1C3|8644,AKR1C3
AKR1C4|1109,AKR1C4
AKR1CL1|340811,AKR1CL1
AKR1D1|6718,AKR1D1
AKR1E2|83592,AKR1E2
AKR7A2|8574,AKR7A2
AKR7A3|22977,AKR7A3
AKR7L|246181,AKR7L
AKT1|207,AKT1
AKT1S1|84335,AKT1S1
AKT2|208,AKT2
AKT3|10000,AKT3
AKTIP|64400,AKTIP
ALAD|210,ALAD
ALAS1|211,ALAS1
ALAS2|212,ALAS2
ALB|213,ALB
ALCAM|214,ALCAM
ALDH16A1|126133,ALDH16A1
ALDH18A1|5832,ALDH18A1
ALDH1A1|216,ALDH1A1
ALDH1A2|8854,ALDH1A2
ALDH1A3|220,ALDH1A3
ALDH1B1|219,ALDH1B1
ALDH1L1|10840,ALDH1L1
ALDH1L2|160428,ALDH1L2
ALDH2|217,ALDH2
ALDH3A1|218,ALDH3A1
ALDH3A2|224,ALDH3A2
ALDH3B1|221,ALDH3B1
ALDH3B2|222,ALDH3B2
ALDH4A1|8659,ALDH4A1
ALDH5A1|7915,ALDH5A1
ALDH6A1|4329,ALDH6A1
ALDH7A1|501,ALDH7A1
ALDH8A1|64577,ALDH8A1
ALDH9A1|223,ALDH9A1
ALDOA|226,ALDOA
ALDOB|229,ALDOB
ALDOC|230,ALDOC
ALG1|56052,ALG1
ALG10|84920,ALG10
ALG10B|144245,ALG10B
ALG11|440138,ALG11
ALG12|79087,ALG12
ALG13|79868,ALG13
ALG14|199857,ALG14
ALG1L|200810,ALG1L
ALG1L2|644974,ALG1L2
ALG2|85365,ALG2
ALG3|10195,ALG3
ALG5|29880,ALG5
ALG6|29929,ALG6
ALG8|79053,ALG8
ALG9|79796,ALG9
ALK|238,ALK
ALKBH1|8846,ALKBH1
ALKBH2|121642,ALKBH2
ALKBH3|221120,ALKBH3
ALKBH4|54784,ALKBH4
ALKBH5|54890,ALKBH5
ALKBH6|84964,ALKBH6
ALKBH7|84266,ALKBH7
ALKBH8|91801,ALKBH8
ALLC|55821,ALLC
ALMS1|7840,ALMS1
ALMS1P|200420,ALMS1P
ALOX12|239,ALOX12
ALOX12B|242,ALOX12B
ALOX12P2|245,ALOX12P2
ALOX15|246,ALOX15
ALOX15B|247,ALOX15B
ALOX5|240,ALOX5
ALOX5AP|241,ALOX5AP
ALOXE3|59344,ALOXE3
ALPI|248,ALPI
ALPK1|80216,ALPK1
ALPK2|115701,ALPK2
ALPK3|57538,ALPK3
ALPL|249,ALPL
ALPP|250,ALPP
ALPPL2|251,ALPPL2
ALS2|57679,ALS2
ALS2CL|259173,ALS2CL
ALS2CR11|151254,ALS2CR11
ALS2CR12|130540,ALS2CR12
ALS2CR4|65062,ALS2CR4
ALS2CR8|79800,ALS2CR8
ALX1|8092,ALX1
ALX3|257,ALX3
ALX4|60529,ALX4
AMAC1|146861,AMAC1
AMAC1L2|83650,AMAC1L2
AMAC1L3|643664,AMAC1L3
AMACR|23600,AMACR
AMBN|258,AMBN
AMBP|259,AMBP
AMBRA1|55626,AMBRA1
AMD1|262,AMD1
AMDHD1|144193,AMDHD1
AMDHD2|51005,AMDHD2
AMELX|265,AMELX
AMELY|266,AMELY
AMFR|267,AMFR
AMH|268,AMH
AMHR2|269,AMHR2
AMICA1|120425,AMICA1
AMIGO1|57463,AMIGO1
AMIGO2|347902,AMIGO2
AMIGO3|386724,AMIGO3
AMMECR1|9949,AMMECR1
AMMECR1L|83607,AMMECR1L
AMN|81693,AMN
AMN1|196394,AMN1
AMOT|154796,AMOT
AMOTL1|154810,AMOTL1
AMOTL2|51421,AMOTL2
AMPD1|270,AMPD1
AMPD2|271,AMPD2
AMPD3|272,AMPD3
AMPH|273,AMPH
AMT|275,AMT
AMTN|401138,AMTN
AMY1A|276,AMY1A
AMY2A|279,AMY2A
AMY2B|280,AMY2B
AMZ1|155185,AMZ1
AMZ2|51321,AMZ2
AMZ2P1|201283,AMZ2P1
ANAPC1|64682,ANAPC1
ANAPC10|10393,ANAPC10
ANAPC11|51529,ANAPC11
ANAPC13|25847,ANAPC13
ANAPC16|119504,ANAPC16
ANAPC2|29882,ANAPC2
ANAPC4|29945,ANAPC4
ANAPC5|51433,ANAPC5
ANAPC7|51434,ANAPC7
ANG|283,ANG
ANGEL1|23357,ANGEL1
ANGEL2|90806,ANGEL2
ANGPT1|284,ANGPT1
ANGPT2|285,ANGPT2
ANGPT4|51378,ANGPT4
ANGPTL1|9068,ANGPTL1
ANGPTL2|23452,ANGPTL2
ANGPTL3|27329,ANGPTL3
ANGPTL4|51129,ANGPTL4
ANGPTL5|253935,ANGPTL5
ANGPTL6|83854,ANGPTL6
ANGPTL7|10218,ANGPTL7
ANK1|286,ANK1
ANK2|287,ANK2
ANK3|288,ANK3
ANKAR|150709,ANKAR
ANKDD1A|348094,ANKDD1A
ANKFN1|162282,ANKFN1
ANKFY1|51479,ANKFY1
ANKH|56172,ANKH
ANKHD1-EIF4EBP3|404734,ANKHD1-EIF4EBP3
ANKHD1|54882,ANKHD1
ANKIB1|54467,ANKIB1
ANKK1|255239,ANKK1
ANKLE1|126549,ANKLE1
ANKLE2|23141,ANKLE2
ANKMY1|51281,ANKMY1
ANKMY2|57037,ANKMY2
ANKRA2|57763,ANKRA2
ANKRD1|27063,ANKRD1
ANKRD10|55608,ANKRD10
ANKRD11|29123,ANKRD11
ANKRD12|23253,ANKRD12
ANKRD13A|88455,ANKRD13A
ANKRD13B|124930,ANKRD13B
ANKRD13C|81573,ANKRD13C
ANKRD13D|338692,ANKRD13D
ANKRD16|54522,ANKRD16
ANKRD17|26057,ANKRD17
ANKRD19|138649,ANKRD19
ANKRD2|26287,ANKRD2
ANKRD20A3|441425,ANKRD20A3
ANKRD20A4|728747,ANKRD20A4
ANKRD20B|729171,ANKRD20B
ANKRD22|118932,ANKRD22
ANKRD23|200539,ANKRD23
ANKRD24|170961,ANKRD24
ANKRD26|22852,ANKRD26
ANKRD26P1|124149,ANKRD26P1
ANKRD27|84079,ANKRD27
ANKRD28|23243,ANKRD28
ANKRD29|147463,ANKRD29
ANKRD30A|91074,ANKRD30A
ANKRD30B|374860,ANKRD30B
ANKRD31|256006,ANKRD31
ANKRD32|84250,ANKRD32
ANKRD33|341405,ANKRD33
ANKRD34A|284615,ANKRD34A
ANKRD34B|340120,ANKRD34B
ANKRD34C|390616,ANKRD34C
ANKRD35|148741,ANKRD35
ANKRD36|375248,ANKRD36
ANKRD36B|57730,ANKRD36B
ANKRD36BP1|84832,ANKRD36BP1
ANKRD37|353322,ANKRD37
ANKRD39|51239,ANKRD39
ANKRD40|91369,ANKRD40
ANKRD42|338699,ANKRD42
ANKRD43|134548,ANKRD43
ANKRD44|91526,ANKRD44
ANKRD45|339416,ANKRD45
ANKRD46|157567,ANKRD46
ANKRD49|54851,ANKRD49
ANKRD5|63926,ANKRD5
ANKRD50|57182,ANKRD50
ANKRD52|283373,ANKRD52
ANKRD53|79998,ANKRD53
ANKRD54|129138,ANKRD54
ANKRD55|79722,ANKRD55
ANKRD56|345079,ANKRD56
ANKRD57|65124,ANKRD57
ANKRD58|347454,ANKRD58
ANKRD6|22881,ANKRD6
ANKRD7|56311,ANKRD7
ANKRD9|122416,ANKRD9
ANKS1A|23294,ANKS1A
ANKS1B|56899,ANKS1B
ANKS3|124401,ANKS3
ANKS4B|257629,ANKS4B
ANKS6|203286,ANKS6
ANKZF1|55139,ANKZF1
ANLN|54443,ANLN
ANO1|55107,ANO1
ANO10|55129,ANO10
ANO2|57101,ANO2
ANO3|63982,ANO3
ANO4|121601,ANO4
ANO5|203859,ANO5
ANO6|196527,ANO6
ANO7|50636,ANO7
ANO8|57719,ANO8
ANO9|338440,ANO9
ANP32A|8125,ANP32A
ANP32B|10541,ANP32B
ANP32C|23520,ANP32C
ANP32D|23519,ANP32D
ANP32E|81611,ANP32E
ANPEP|290,ANPEP
ANTXR1|84168,ANTXR1
ANTXR2|118429,ANTXR2
ANTXRL|195977,ANTXRL
ANUBL1|93550,ANUBL1
ANXA1|301,ANXA1
ANXA10|11199,ANXA10
ANXA11|311,ANXA11
ANXA13|312,ANXA13
ANXA2|302,ANXA2
ANXA2P1|303,ANXA2P1
ANXA2P2|304,ANXA2P2
ANXA2P3|305,ANXA2P3
ANXA3|306,ANXA3
ANXA4|307,ANXA4
ANXA5|308,ANXA5
ANXA6|309,ANXA6
ANXA7|310,ANXA7
ANXA8|653145,ANXA8
ANXA8L1|728113,ANXA8L1
ANXA8L2|244,ANXA8L2
ANXA9|8416,ANXA9
AOAH|313,AOAH
AOC2|314,AOC2
AOC3|8639,AOC3
AOX1|316,AOX1
AOX2P|344454,AOX2P
AP1AR|55435,AP1AR
AP1B1|162,AP1B1
AP1G1|164,AP1G1
AP1G2|8906,AP1G2
AP1M1|8907,AP1M1
AP1M2|10053,AP1M2
AP1S1|1174,AP1S1
AP1S2|8905,AP1S2
AP1S3|130340,AP1S3
AP2A1|160,AP2A1
AP2A2|161,AP2A2
AP2B1|163,AP2B1
AP2M1|1173,AP2M1
AP2S1|1175,AP2S1
AP3B1|8546,AP3B1
AP3B2|8120,AP3B2
AP3D1|8943,AP3D1
AP3M1|26985,AP3M1
AP3M2|10947,AP3M2
AP3S1|1176,AP3S1
AP3S2|10239,AP3S2
AP4B1|10717,AP4B1
AP4E1|23431,AP4E1
AP4M1|9179,AP4M1
AP4S1|11154,AP4S1
APAF1|317,APAF1
APBA1|320,APBA1
APBA2|321,APBA2
APBA3|9546,APBA3
APBB1|322,APBB1
APBB1IP|54518,APBB1IP
APBB2|323,APBB2
APBB3|10307,APBB3
APC|324,APC
APC2|10297,APC2
APCDD1|147495,APCDD1
APCDD1L|164284,APCDD1L
APCS|325,APCS
APEH|327,APEH
APEX1|328,APEX1
APEX2|27301,APEX2
APH1A|51107,APH1A
APH1B|83464,APH1B
API5|8539,API5
APIP|51074,APIP
APITD1|378708,APITD1
APLF|200558,APLF
APLN|8862,APLN
APLNR|187,APLNR
APLP1|333,APLP1
APLP2|334,APLP2
APOA1|335,APOA1
APOA1BP|128240,APOA1BP
APOA2|336,APOA2
APOA4|337,APOA4
APOA5|116519,APOA5
APOB|338,APOB
APOB48R|55911,APOB48R
APOBEC1|339,APOBEC1
APOBEC2|10930,APOBEC2
APOBEC3A|200315,APOBEC3A
APOBEC3B|9582,APOBEC3B
APOBEC3C|27350,APOBEC3C
APOBEC3D|140564,APOBEC3D
APOBEC3F|200316,APOBEC3F
APOBEC3G|60489,APOBEC3G
APOBEC3H|164668,APOBEC3H
APOBEC4|403314,APOBEC4
APOC1|341,APOC1
APOC1P1|342,APOC1P1
APOC2|344,APOC2
APOC3|345,APOC3
APOC4|346,APOC4
APOD|347,APOD
APOE|348,APOE
APOF|319,APOF
APOH|350,APOH
APOL1|8542,APOL1
APOL2|23780,APOL2
APOL3|80833,APOL3
APOL4|80832,APOL4
APOL5|80831,APOL5
APOL6|80830,APOL6
APOLD1|81575,APOLD1
APOM|55937,APOM
APOO|79135,APOO
APOOL|139322,APOOL
APP|351,APP
APPBP2|10513,APPBP2
APPL1|26060,APPL1
APPL2|55198,APPL2
APRT|353,APRT
APTX|54840,APTX
AQP1|358,AQP1
AQP10|89872,AQP10
AQP11|282679,AQP11
AQP12A|375318,AQP12A
AQP12B|653437,AQP12B
AQP2|359,AQP2
AQP3|360,AQP3
AQP4|361,AQP4
AQP5|362,AQP5
AQP6|363,AQP6
AQP7|364,AQP7
AQP7P1|375719,AQP7P1
AQP7P3|441432,AQP7P3
AQP8|343,AQP8
AQP9|366,AQP9
AQPEP|206338,AQPEP
AQR|9716,AQR
AR|367,AR
ARAF|369,ARAF
ARAP1|116985,ARAP1
ARAP2|116984,ARAP2
ARAP3|64411,ARAP3
ARC|23237,ARC
ARCN1|372,ARCN1
AREG|374,AREG
ARF1|375,ARF1
ARF3|377,ARF3
ARF4|378,ARF4
ARF5|381,ARF5
ARF6|382,ARF6
ARFGAP1|55738,ARFGAP1
ARFGAP2|84364,ARFGAP2
ARFGAP3|26286,ARFGAP3
ARFGEF1|10565,ARFGEF1
ARFGEF2|10564,ARFGEF2
ARFIP1|27236,ARFIP1
ARFIP2|23647,ARFIP2
ARFRP1|10139,ARFRP1
ARG1|383,ARG1
ARG2|384,ARG2
ARGFX|503582,ARGFX
ARGFXP2|503640,ARGFXP2
ARGLU1|55082,ARGLU1
ARHGAP1|392,ARHGAP1
ARHGAP10|79658,ARHGAP10
ARHGAP11A|9824,ARHGAP11A
ARHGAP11B|89839,ARHGAP11B
ARHGAP12|94134,ARHGAP12
ARHGAP15|55843,ARHGAP15
ARHGAP17|55114,ARHGAP17
ARHGAP18|93663,ARHGAP18
ARHGAP19|84986,ARHGAP19
ARHGAP20|57569,ARHGAP20
ARHGAP21|57584,ARHGAP21
ARHGAP22|58504,ARHGAP22
ARHGAP23|57636,ARHGAP23
ARHGAP24|83478,ARHGAP24
ARHGAP25|9938,ARHGAP25
ARHGAP26|23092,ARHGAP26
ARHGAP27|201176,ARHGAP27
ARHGAP28|79822,ARHGAP28
ARHGAP29|9411,ARHGAP29
ARHGAP30|257106,ARHGAP30
